,beta
MMM,1.035
AOS,1.253
ABT,0.74
ABBV,0.564
ACN,1.181
ADBE,1.272
AMD,1.635
AES,1.087
AFL,0.914
A,1.122
APD,0.812
ABNB,1.254
AKAM,0.703
ALB,1.646
ARE,1.068
ALGN,1.642
ALLE,1.134
LNT,0.54
ALL,0.513
GOOGL,1.054
GOOG,1.054
MO,0.695
AMZN,1.16
AMCR,0.844
AEE,0.449
AAL,1.569
AEP,0.508
AXP,1.227
AIG,1.028
AMT,0.674
AWK,0.624
AMP,1.347
AME,1.216
AMGN,0.595
APH,1.31
ADI,1.164
ANSS,1.15
AON,0.853
APA,3.306
AAPL,1.276
AMAT,1.583
APTV,1.904
ACGL,0.573
ADM,0.769
ANET,1.108
AJG,0.68
AIZ,0.508
T,0.701
ATO,0.663
ADSK,1.417
ADP,0.785
AZO,0.705
AVB,0.933
AVY,0.921
AXON,0.911
BKR,1.445
BALL,0.893
BAC,1.388
BK,1.113
BBWI,1.876
BAX,0.634
BDX,0.458
BRK-B,0.888
BBY,1.506
BIO,0.88
TECH,1.216
BIIB,-0.009
BLK,1.37
BX,1.486
BA,1.527
BKNG,1.402
BWA,1.285
BXP,1.165
BSX,0.793
BMY,0.39
AVGO,1.268
BR,0.982
BRO,0.781
BF-B,0.77
BLDR,2.057
BG,0.651
CDNS,1.032
CZR,2.813
CPT,0.851
CPB,0.23
COF,1.471
CAH,0.697
KMX,1.598
CCL,2.551
CARR,1.254
CTLT,1.189
CAT,1.164
CBOE,0.59
CBRE,1.424
CDW,1.084
CE,1.349
COR,0.465
CNC,0.391
CNP,0.932
CF,1.016
CHRW,0.743
CRL,1.41
SCHW,1.001
CHTR,0.951
CVX,1.129
CMG,1.301
CB,0.627
CHD,0.524
CI,0.576
CINF,0.624
CTAS,1.263
CSCO,0.852
C,1.496
CFG,1.354
CLX,0.422
CME,0.486
CMS,0.38
KO,0.586
CTSH,1.066
CL,0.406
CMCSA,0.967
CMA,1.283
CAG,0.389
COP,1.275
ED,0.353
STZ,0.937
CEG,0.743
COO,0.947
CPRT,1.213
GLW,1.089
CPAY,1.227
CTVA,0.771
CSGP,0.834
COST,0.761
CTRA,0.2
CCI,0.749
CSX,1.173
CMI,1.043
CVS,0.511
DHR,0.86
DRI,1.257
DVA,1.048
DAY,1.296
DECK,1.012
DE,1.047
DAL,1.428
DVN,2.22
DXCM,1.207
FANG,1.922
DLR,0.558
DFS,1.436
DG,0.411
DLTR,0.9
D,0.608
DPZ,0.863
DOV,1.274
DOW,1.306
DHI,1.643
DTE,0.646
DUK,0.465
DD,1.285
EMN,1.557
ETN,1.079
EBAY,1.324
ECL,1.099
EIX,0.967
EW,1.074
EA,0.773
ELV,0.806
LLY,0.367
EMR,1.367
ENPH,1.462
ETR,0.705
EOG,1.414
EPAM,1.433
EQT,1.138
EFX,1.506
EQIX,0.581
EQR,0.854
ESS,0.818
EL,1.071
ETSY,2.025
EG,0.55
EVRG,0.567
ES,0.597
EXC,0.607
EXPE,1.858
EXPD,0.984
EXR,0.748
XOM,0.964
FFIV,1.113
FDS,0.71
FICO,1.217
FAST,1.034
FRT,1.238
FDX,1.223
FIS,0.977
FITB,1.271
FSLR,1.396
FE,0.479
FI,0.92
FMC,0.875
F,1.626
FTNT,1.07
FTV,1.175
FOXA,0.792
FOX,0.792
BEN,1.417
FCX,2.061
GRMN,0.998
IT,1.287
GE,1.235
GEHC,
GEV,
GEN,1.091
GNRC,1.445
GD,0.676
GIS,0.142
GM,1.511
GPC,0.966
GILD,0.203
GPN,0.961
GL,0.68
GS,1.418
HAL,2.032
HIG,0.883
HAS,0.696
HCA,1.672
DOC,1.023
HSIC,0.86
HSY,0.329
HES,1.275
HPE,1.222
HLT,1.259
HOLX,1.016
HD,0.983
HON,1.013
HRL,0.283
HST,1.327
HWM,1.252
HPQ,1.063
HUBB,0.934
HUM,0.463
HBAN,1.115
HII,0.593
IBM,0.714
IEX,0.967
IDXX,1.259
ITW,1.137
ILMN,1.192
INCY,0.672
IR,1.416
PODD,1.003
INTC,1.01
ICE,1.022
IFF,1.237
IP,0.975
IPG,1.119
INTU,1.223
ISRG,1.385
IVZ,1.419
INVH,0.943
IQV,1.521
IRM,0.977
JBHT,1.128
JBL,1.392
JKHY,0.651
J,0.729
JNJ,0.528
JCI,1.259
JPM,1.117
JNPR,0.975
K,0.411
KVUE,
KDP,0.655
KEY,1.274
KEYS,1.055
KMB,0.413
KIM,1.451
KMI,0.89
KLAC,1.338
KHC,0.672
KR,0.48
LHX,0.646
LH,0.995
LRCX,1.501
LW,0.734
LVS,1.157
LDOS,0.689
LEN,1.526
LIN,0.943
LYV,1.308
LKQ,1.282
LMT,0.467
L,0.822
LOW,1.124
LULU,1.295
LYB,1.197
MTB,0.782
MRO,2.24
MPC,1.527
MKTX,0.965
MAR,1.62
MMC,0.896
MLM,0.946
MAS,1.264
MA,1.068
MTCH,1.483
MKC,0.728
MCD,0.708
MCK,0.45
MDT,0.783
MRK,0.398
META,1.184
MET,1.033
MTD,1.151
MGM,2.202
MCHP,1.625
MU,1.277
MSFT,0.877
MAA,0.794
MRNA,1.586
MHK,1.337
MOH,0.493
TAP,0.845
MDLZ,0.57
MPWR,1.224
MNST,0.711
MCO,1.261
MS,1.405
MOS,1.521
MSI,0.909
MSCI,1.045
NDAQ,0.938
NTAP,1.268
NFLX,1.218
NEM,0.538
NWSA,1.35
NWS,1.35
NEE,0.515
NKE,1.086
NI,0.491
NDSN,0.997
NSC,1.292
NTRS,1.133
NOC,0.34
NCLH,2.608
NRG,1.134
NUE,1.633
NVDA,1.744
NVR,1.118
NXPI,1.577
ORLY,0.873
OXY,1.687
ODFL,1.029
OMC,0.971
ON,1.79
OKE,1.625
ORCL,1.006
OTIS,0.908
PCAR,0.919
PKG,0.796
PANW,1.2
PARA,1.783
PH,1.522
PAYX,0.932
PAYC,1.166
PYPL,1.444
PNR,1.226
PEP,0.533
PFE,0.572
PCG,1.286
PM,0.639
PSX,1.38
PNW,0.482
PXD,1.329
PNC,1.154
POOL,0.993
PPG,1.281
PPL,0.835
PFG,1.235
PG,0.429
PGR,0.346
PLD,1.003
PRU,1.348
PEG,0.595
PTC,1.184
PSA,0.533
PHM,1.561
QRVO,1.559
PWR,1.105
QCOM,1.339
DGX,0.893
RL,1.548
RJF,1.042
RTX,0.604
O,0.937
REG,1.179
REGN,0.141
RF,1.214
RSG,0.683
RMD,0.673
RVTY,1.094
RHI,1.273
ROK,1.433
ROL,0.651
ROP,0.986
ROST,1.043
RCL,2.534
SPGI,1.145
CRM,1.279
SBAC,0.553
SLB,1.625
STX,1.065
SRE,0.714
NOW,0.957
SHW,1.154
SPG,1.701
SWKS,1.368
SJM,0.206
SNA,0.981
SOLV,
SO,0.49
LUV,1.144
SWK,1.329
SBUX,0.971
STT,1.539
STLD,1.457
STE,0.789
SYK,0.912
SMCI,1.288
SYF,1.608
SNPS,1.055
SYY,1.146
TMUS,0.482
TROW,1.404
TTWO,0.741
TPR,1.598
TRGP,2.218
TGT,1.151
TEL,1.371
TDY,1.013
TFX,1.118
TER,1.531
TSLA,2.441
TXN,1.019
TXT,1.3
TMO,0.801
TJX,0.865
TSCO,0.839
TT,1.23
TDG,1.416
TRV,0.591
TRMB,1.508
TFC,1.067
TYL,0.794
TSN,0.754
USB,1.05
UBER,1.359
UDR,0.794
ULTA,1.306
UNP,1.066
UAL,1.538
UPS,1.061
URI,1.819
UNH,0.558
UHS,1.263
VLO,1.539
VTR,1.288
VLTO,
VRSN,0.867
VRSK,0.775
VZ,0.394
VRTX,0.368
VTRS,1.146
VICI,0.916
V,0.953
VMC,0.825
WRB,0.563
WAB,1.414
WBA,0.752
WMT,0.494
DIS,1.388
WBD,1.49
WM,0.723
WAT,0.956
WEC,0.405
WFC,1.206
WELL,1.091
WST,1.025
WDC,1.554
WRK,1.111
WY,1.453
WMB,1.078
WTW,0.737
GWW,1.159
WYNN,1.916
XEL,0.372
XYL,1.102
YUM,1.094
ZBRA,1.797
ZBH,1.022
ZTS,0.848
